combo,case_id,region,degradation,det_iou,ocr_text,gt_text,exact_match,char_acc,det_latency_ms,ocr_latency_ms,total_latency_ms
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,clean,0.793,6TIX874,6TIX874,True,1.0,31.63,4.28,35.91
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,motion_blur,0.791,ATT8371,6TIX874,False,0.286,28.11,3.55,31.65
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,defocus_blur,0.841,,6TIX874,False,0.0,29.18,3.07,32.25
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,low_res,0.807,,6TIX874,False,0.0,29.29,3.74,33.03
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,noise,0.816,6TTX874,6TIX874,False,0.857,28.83,3.98,32.81
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,jpeg_compression,0.793,6TTX874,6TIX874,False,0.857,21.99,3.52,25.51
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,under_exposure,0.833,6TTX874,6TIX874,False,0.857,104.75,4.25,108.99
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,over_exposure,0.778,6TIX874,6TIX874,True,1.0,45.04,4.8,49.83
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,perspective,0.751,6TTX874,6TIX874,False,0.857,36.92,9.76,46.68
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000148,us,combined_hard,0.877,,6TIX874,False,0.0,28.0,8.81,36.81
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,clean,0.894,DL3C2Z,DL3C2Z,True,1.0,25.29,5.1,30.38
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,motion_blur,0.866,,DL3C2Z,False,0.0,27.76,3.29,31.05
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,defocus_blur,0.508,,DL3C2Z,False,0.0,27.86,3.96,31.82
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,low_res,0.802,11111,DL3C2Z,False,0.0,28.46,3.77,32.24
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,noise,0.0,DL3C27,DL3C2Z,False,0.833,26.71,10.25,36.96
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,jpeg_compression,0.813,DLJC2Z,DL3C2Z,False,0.833,37.3,3.39,40.68
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,under_exposure,0.843,DL3C27,DL3C2Z,False,0.833,31.37,3.27,34.64
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,over_exposure,0.937,DL3C2Z,DL3C2Z,True,1.0,43.05,3.13,46.18
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,perspective,0.642,DL3C2Z,DL3C2Z,True,1.0,30.63,7.41,38.04
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000016,us,combined_hard,0.0,,DL3C2Z,False,0.0,62.09,7.11,69.2
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,clean,0.866,HH9G5W,HH9G5W,True,1.0,34.13,4.13,38.26
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,motion_blur,0.752,,HH9G5W,False,0.0,27.75,4.19,31.94
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,defocus_blur,0.767,,HH9G5W,False,0.0,22.63,4.76,27.38
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,low_res,0.86,HHH834,HH9G5W,False,0.333,32.7,3.78,36.48
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,noise,0.742,HH9G5W,HH9G5W,True,1.0,29.19,3.52,32.7
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,jpeg_compression,0.853,HH9G5W,HH9G5W,True,1.0,21.54,3.51,25.05
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,under_exposure,0.866,HH9G5W,HH9G5W,True,1.0,22.35,3.56,25.9
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,over_exposure,0.845,HH9G5W,HH9G5W,True,1.0,24.17,3.57,27.75
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,perspective,0.602,HH9G5W,HH9G5W,True,1.0,27.33,3.52,30.85
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000010,us,combined_hard,0.724,,HH9G5W,False,0.0,61.81,8.58,70.39
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,clean,0.811,1AMW240,1AMW240,True,1.0,36.22,3.09,39.31
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,motion_blur,0.785,ML3A7,1AMW240,False,0.143,25.6,4.07,29.67
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,defocus_blur,0.766,,1AMW240,False,0.0,27.02,3.65,30.67
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,low_res,0.838,EW119,1AMW240,False,0.143,27.21,3.53,30.74
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,noise,0.852,1AMW240,1AMW240,True,1.0,23.97,4.57,28.54
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,jpeg_compression,0.788,1AMW240,1AMW240,True,1.0,21.41,3.51,24.93
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,under_exposure,0.852,1AMW240,1AMW240,True,1.0,27.46,3.7,31.16
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,over_exposure,0.812,1AMW240,1AMW240,True,1.0,27.28,4.14,31.42
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,perspective,0.56,1AMW240,1AMW240,True,1.0,27.03,3.22,30.25
current (yolo-v9-t-384 + cct-xs-v2),us_car3,us,combined_hard,0.723,JA112AL,1AMW240,False,0.286,34.25,3.7,37.94
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,clean,0.881,FE5R2D,FE5R2D,True,1.0,32.92,3.04,35.96
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,motion_blur,0.732,,FE5R2D,False,0.0,28.24,3.97,32.21
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,defocus_blur,0.802,,FE5R2D,False,0.0,30.09,3.5,33.59
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,low_res,0.869,,FE5R2D,False,0.0,28.6,3.09,31.69
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,noise,0.897,FE5R2D,FE5R2D,True,1.0,25.98,3.88,29.86
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,jpeg_compression,0.897,FE5R2D,FE5R2D,True,1.0,27.64,3.33,30.97
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,under_exposure,0.871,FE5R2D,FE5R2D,True,1.0,27.89,3.33,31.22
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,over_exposure,0.885,FE5R2D,FE5R2D,True,1.0,20.42,5.78,26.2
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,perspective,0.513,FE5R2D,FE5R2D,True,1.0,26.95,3.56,30.51
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000048,us,combined_hard,0.703,,FE5R2D,False,0.0,26.86,3.57,30.43
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,clean,0.843,59CADI,59CADI,True,1.0,22.74,4.39,27.13
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,motion_blur,0.754,1551A,59CADI,False,0.167,28.11,3.21,31.31
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,defocus_blur,0.759,,59CADI,False,0.0,27.58,3.38,30.95
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,low_res,0.84,SFP11,59CADI,False,0.0,26.99,3.55,30.55
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,noise,0.821,59CADI,59CADI,True,1.0,27.15,3.4,30.56
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,jpeg_compression,0.837,59CADI,59CADI,True,1.0,26.72,3.37,30.09
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,under_exposure,0.832,59CADI,59CADI,True,1.0,27.09,3.35,30.44
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,over_exposure,0.844,59CADI,59CADI,True,1.0,27.92,3.54,31.47
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,perspective,0.645,59CADI,59CADI,True,1.0,26.84,3.22,30.06
current (yolo-v9-t-384 + cct-xs-v2),us_car5,us,combined_hard,0.72,,59CADI,False,0.0,21.87,3.63,25.5
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,clean,0.92,NEILDMND,NEILDMND,True,1.0,21.63,3.57,25.2
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,motion_blur,0.878,NEIDMND,NEILDMND,False,0.875,60.46,10.97,71.43
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,defocus_blur,0.929,NE40MO,NEILDMND,False,0.375,37.57,3.54,41.1
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,low_res,0.911,NEILDMND,NEILDMND,True,1.0,75.25,4.52,79.77
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,noise,0.853,NEILDMND,NEILDMND,True,1.0,58.88,8.48,67.37
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,jpeg_compression,0.928,NEILDMND,NEILDMND,True,1.0,29.16,3.14,32.3
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,under_exposure,0.916,NEILDMND,NEILDMND,True,1.0,30.85,3.67,34.52
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,over_exposure,0.929,NEILDMND,NEILDMND,True,1.0,30.79,3.73,34.52
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,perspective,0.695,NEILDMND,NEILDMND,True,1.0,28.49,4.26,32.74
current (yolo-v9-t-384 + cct-xs-v2),us_us5,us,combined_hard,0.817,NEALCMO,NEILDMND,False,0.5,43.88,10.2,54.08
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,clean,0.853,DK2Z5S,DK2Z5S,True,1.0,40.68,4.65,45.34
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,motion_blur,0.839,,DK2Z5S,False,0.0,33.37,5.91,39.28
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,defocus_blur,0.852,,DK2Z5S,False,0.0,41.87,5.13,47.0
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,low_res,0.863,,DK2Z5S,False,0.0,27.2,4.98,32.18
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,noise,0.921,DK2Z5S,DK2Z5S,True,1.0,29.4,5.42,34.82
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,jpeg_compression,0.897,DK2Z5S,DK2Z5S,True,1.0,29.79,3.47,33.26
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,under_exposure,0.86,DK2Z5S,DK2Z5S,True,1.0,28.91,4.37,33.29
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,over_exposure,0.844,DK2Z5S,DK2Z5S,True,1.0,37.36,5.37,42.73
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,perspective,0.725,DK2Z5S,DK2Z5S,True,1.0,30.71,5.49,36.2
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000061,us,combined_hard,0.852,,DK2Z5S,False,0.0,50.77,7.98,58.74
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,clean,0.932,CWW2245,CWW2245,True,1.0,68.98,6.07,75.05
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,motion_blur,0.919,HMTTL,CWW2245,False,0.0,32.29,5.72,38.01
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,defocus_blur,0.901,CWW178,CWW2245,False,0.429,32.43,3.76,36.19
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,low_res,0.913,EVL445,CWW2245,False,0.286,29.63,3.08,32.72
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,noise,0.878,CWW2245,CWW2245,True,1.0,58.84,7.93,66.77
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,jpeg_compression,0.92,CWW2245,CWW2245,True,1.0,35.84,3.8,39.64
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,under_exposure,0.919,CWW2245,CWW2245,True,1.0,34.26,5.54,39.81
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,over_exposure,0.945,CWW2245,CWW2245,True,1.0,54.69,4.79,59.48
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,perspective,0.658,CWW2245,CWW2245,True,1.0,46.32,6.66,52.98
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000137,us,combined_hard,0.919,VWW5744,CWW2245,False,0.429,43.85,4.87,48.72
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,clean,0.861,SL7J8R,SL7J8R,True,1.0,27.87,3.43,31.3
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,motion_blur,0.85,,SL7J8R,False,0.0,27.54,3.62,31.15
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,defocus_blur,0.831,,SL7J8R,False,0.0,35.57,6.16,41.73
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,low_res,0.851,,SL7J8R,False,0.0,68.08,6.35,74.43
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,noise,0.854,SL7J8R,SL7J8R,True,1.0,36.19,9.1,45.29
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,jpeg_compression,0.861,SL7J8R,SL7J8R,True,1.0,28.14,3.47,31.61
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,under_exposure,0.851,SL7J8R,SL7J8R,True,1.0,27.94,3.69,31.63
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,over_exposure,0.842,SL7J8R,SL7J8R,True,1.0,26.38,3.27,29.66
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,perspective,0.714,SL7J8R,SL7J8R,True,1.0,28.39,3.53,31.92
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000179,us,combined_hard,0.86,,SL7J8R,False,0.0,39.35,3.2,42.56
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,clean,0.879,1366026,1366026,True,1.0,30.79,3.15,33.94
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,motion_blur,0.826,T44631,1366026,False,0.143,27.64,3.73,31.37
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,defocus_blur,0.0,,1366026,False,0.0,21.16,2.62,23.77
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,low_res,0.746,L551,1366026,False,0.0,20.16,2.87,23.03
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,noise,0.778,1366026,1366026,True,1.0,19.96,5.25,25.2
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,jpeg_compression,0.845,1366026,1366026,True,1.0,25.92,3.03,28.96
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,under_exposure,0.835,1366026,1366026,True,1.0,26.54,3.55,30.09
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,over_exposure,0.844,1366026,1366026,True,1.0,27.35,3.72,31.07
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,perspective,0.738,1366026,1366026,True,1.0,27.71,3.55,31.26
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000154,us,combined_hard,0.875,S65777,1366026,False,0.143,25.8,4.38,30.18
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,clean,0.885,CDK575,CDK575,True,1.0,27.77,3.54,31.32
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,motion_blur,0.919,TDD1775,CDK575,False,0.333,28.28,3.92,32.21
current (yolo-v9-t-384 + cct-xs-v2),us_wts-lg-000163,us,defocus_blur,0.762,,CDK575,False,0.0,26.98,3.67,30.65
