case_id,region,degradation,detector_rerun,det_iou_before,det_iou_after,gt_text,ocr_before,ocr_after,ocr_conf_before,ocr_conf_after,char_acc_before,char_acc_after,exact_before,exact_after,psnr_before,psnr_after,ssim_before,ssim_after
us_wts-lg-000148,us,motion_blur,True,0.791,0.8,6TIX874,ATT8371,6TTX874,0.575,0.94,0.286,0.857,False,False,13.17,11.79,0.226,0.295
us_wts-lg-000148,us,defocus_blur,True,0.841,0.85,6TIX874,,,0.97,0.647,0.0,0.0,False,False,12.96,12.54,0.139,0.189
us_wts-lg-000148,us,low_res,True,0.807,0.807,6TIX874,,,0.985,0.985,0.0,0.0,False,False,11.59,10.78,0.319,0.277
us_wts-lg-000148,us,noise,True,0.816,0.784,6TIX874,6TTX874,6TTX874,0.954,0.98,0.857,0.857,False,False,25.28,9.62,0.911,0.048
us_wts-lg-000148,us,jpeg_compression,True,0.793,0.748,6TIX874,6TTX874,6TTX874,0.982,0.983,0.857,0.857,False,False,21.88,9.75,0.876,0.106
us_wts-lg-000148,us,under_exposure,True,0.833,0.808,6TIX874,6TTX874,6TTX874,0.982,0.954,0.857,0.857,False,False,6.58,9.26,0.406,0.065
us_wts-lg-000148,us,over_exposure,True,0.778,0.817,6TIX874,6TIX874,6IIX874,0.906,0.922,1.0,0.857,True,False,10.95,9.54,0.697,0.232
us_wts-lg-000148,us,perspective,False,0.751,0.751,6TIX874,6TTX874,6TTX874,0.957,0.98,0.857,0.857,False,False,9.51,10.46,0.075,0.276
us_wts-lg-000148,us,combined_hard,True,0.877,0.793,6TIX874,,781,0.921,0.658,0.0,0.143,False,False,13.23,11.95,0.229,0.26
us_wts-lg-000016,us,motion_blur,True,0.866,0.902,DL3C2Z,,DL3C2Z,0.999,0.995,0.0,1.0,False,True,34.16,21.55,0.822,0.493
us_wts-lg-000016,us,defocus_blur,True,0.508,0.507,DL3C2Z,,A2,0.973,0.6,0.0,0.167,False,False,33.02,25.71,0.774,0.677
us_wts-lg-000016,us,low_res,True,0.802,0.802,DL3C2Z,11111,0L1119,0.621,0.696,0.0,0.167,False,False,32.56,26.37,0.793,0.55
us_wts-lg-000016,us,noise,True,0.0,0.0,DL3C2Z,,,0.0,0.999,0.0,0.0,False,False,24.85,16.07,0.337,0.177
us_wts-lg-000016,us,jpeg_compression,True,0.813,0.763,DL3C2Z,DLJC2Z,DLJC2Z,0.969,0.836,0.833,0.833,False,False,35.16,19.92,0.871,0.601
us_wts-lg-000016,us,under_exposure,True,0.843,0.901,DL3C2Z,DL3C27,DL3C2Z,0.877,0.998,0.833,1.0,False,True,16.58,24.48,0.551,0.497
us_wts-lg-000016,us,over_exposure,True,0.937,0.92,DL3C2Z,DL3C2Z,DL3C2Z,0.996,0.999,1.0,1.0,True,True,8.13,6.22,0.64,0.138
us_wts-lg-000016,us,perspective,False,0.642,0.642,DL3C2Z,DL3C2Z,DL3C2Z,0.998,1.0,1.0,1.0,True,True,28.22,14.89,0.6,0.539
us_wts-lg-000016,us,combined_hard,True,0.0,0.0,DL3C2Z,,,0.0,1.0,0.0,0.0,False,False,28.78,16.01,0.476,0.153
us_wts-lg-000010,us,motion_blur,True,0.752,0.88,HH9G5W,,HH9G5W,1.0,0.988,0.0,1.0,False,True,29.55,14.08,0.636,0.368
us_wts-lg-000010,us,defocus_blur,True,0.767,0.784,HH9G5W,,,0.985,0.941,0.0,0.0,False,False,28.48,16.46,0.536,0.428
us_wts-lg-000010,us,low_res,True,0.86,0.86,HH9G5W,HHH834,HHH431,0.539,0.763,0.333,0.333,False,False,27.95,18.21,0.641,0.487
us_wts-lg-000010,us,noise,True,0.742,0.713,HH9G5W,HH9G5W,HH8054,0.966,0.736,1.0,0.5,True,False,24.86,15.14,0.48,0.069
us_wts-lg-000010,us,jpeg_compression,True,0.853,0.866,HH9G5W,HH9G5W,HH9G5W,0.946,0.997,1.0,1.0,True,True,32.74,14.64,0.84,0.311
us_wts-lg-000010,us,under_exposure,True,0.866,0.903,HH9G5W,HH9G5W,HH9G5W,0.989,1.0,1.0,1.0,True,True,16.4,23.92,0.494,0.485
us_wts-lg-000010,us,over_exposure,True,0.845,0.888,HH9G5W,HH9G5W,HH9G5W,1.0,1.0,1.0,1.0,True,True,8.13,5.81,0.64,0.187
us_wts-lg-000010,us,perspective,False,0.602,0.602,HH9G5W,HH9G5W,HH9G5W,1.0,1.0,1.0,1.0,True,True,24.12,15.17,0.338,0.424
us_wts-lg-000010,us,combined_hard,True,0.724,0.0,HH9G5W,,,1.0,1.0,0.0,0.0,False,False,26.86,13.57,0.427,0.098
